price,location,brand,type,year,mileage
140000000,Kramat Jati,Daihatsu,Xenia,2018,100.000-105.000
140000000,Duren Sawit,Daihatsu,Xenia,2018,100.000-105.000
140000000,Cakung,Daihatsu,Xenia,2018,100.000-105.000
140000000,Tebet,Daihatsu,Xenia,2018,100.000-105.000
140000000,Pancoran,Daihatsu,Xenia,2018,100.000-105.000
140000000,Jagakarsa,Daihatsu,Xenia,2018,100.000-105.000
140000000,Palmerah,Daihatsu,Xenia,2018,100.000-105.000
140000000,Grogol Petamburan,Daihatsu,Xenia,2018,100.000-105.000
140000000,Cengkareng,Daihatsu,Xenia,2018,100.000-105.000
152000000,Tebet,Daihatsu,Terios,2016,75.000-80.000
126000000,Cengkareng,Suzuki,Ertiga,2017,95.000-100.000
705000000,Kebon Jeruk,Mercedes-Benz,GL400,2015,35.000-40.000
97000000,Kramat Jati,Wuling,Confero,2021,30.000-35.000
108000000,Cempaka Putih,Daihatsu,Sigra,2023,15.000-20.000
186000000,Pekayon,Suzuki,Baleno,2020,30.000-35.000
195000000,Kebayoran Lama,Toyota,Camry,2013,70.000-75.000
116000000,Cilangkap,Nissan,Livina,2013,35.000-40.000
114000000,Cilangkap,Toyota,Calya,2016,45.000-50.000
685000000,Kemang,Hyundai,Ioniq 5,2023,5.000-10.000
530000000,Kelapa Gading,Mercedes-Benz,C250,2016,15.000-20.000
103000000,Kemayoran,Ford,Ecosport,2014,90.000-95.000
250000000,Grogol Petamburan,Hyundai,Creta,2022,5.000-10.000
97000000,Cilangkap,Toyota,Calya,2016,90.000-95.000
97000000,Tanjung Barat,Toyota,Calya,2016,90.000-95.000
97000000,Kelapa Gading,Toyota,Calya,2016,90.000-95.000
97000000,Pasar Minggu,Toyota,Calya,2016,90.000-95.000
97000000,Kebayoran Lama,Toyota,Calya,2016,90.000-95.000
157500000,Cilandak,DFSK,Glory 580,2023,5.000
51000000,Jatinegara,Peugeot,406,2004,125.000-130.000
150000000,Cengkareng,Daihatsu,Xenia,2019,55.000-60.000
218000000,Cempaka Putih,Honda,HR-V,2018,45.000-50.000
97000000,Jagakarsa,Toyota,Calya,2016,90.000-95.000
97000000,Sawah Besar,Toyota,Calya,2016,90.000-95.000
97000000,Grogol Petamburan,Toyota,Calya,2016,90.000-95.000
97000000,Cengkareng,Toyota,Calya,2016,90.000-95.000
7200000000,Cilandak,Mercedes-Benz,G63,2023,5.000
118000000,Jakarta Selatan,Mazda,2,2013,60.000-65.000
270000000,Jakarta Selatan,Nissan,Elgrand,2013,70.000-75.000
180000000,Tanjung Barat,Honda,Brio,2021,20.000-25.000
180000000,Pekayon,Honda,Brio,2021,20.000-25.000
180000000,Pantai Indah Kapuk,Honda,Brio,2021,20.000-25.000
180000000,Kemang,Honda,Brio,2021,20.000-25.000
180000000,Duren Sawit,Honda,Brio,2021,20.000-25.000
169000000,Cilandak,Toyota,Sienta,2017,60.000-65.000
67000000,Duren Sawit,Nissan,Grand livina,2011,120.000-125.000
350000000,Cilincing,Honda,CR-V,2017,95.000-100.000
108500000,Palmerah,Honda,Brio Satya,2016,80.000-85.000
129000000,Duren Sawit,Honda,Brio Satya,2018,85.000-90.000
211000000,Cempaka Putih,Honda,HR-V,2017,65.000-70.000
229000000,Penjaringan,Honda,HR-V,2018,70.000-75.000
249000000,Cengkareng,Mazda,2,2020,60.000-65.000
108500000,Jatinegara,Suzuki,Ertiga,2013,50.000-55.000
108500000,Kembangan,Suzuki,Ertiga,2013,50.000-55.000
123000000,Kramat Jati,Toyota,Calya,2019,75.000-80.000
164000000,Kemang,Daihatsu,Xenia,2019,25.000-30.000
164000000,Tebet,Daihatsu,Xenia,2019,25.000-30.000
164000000,Palmerah,Daihatsu,Xenia,2019,25.000-30.000
80000000,Cakung,Daihatsu,Ayla,2016,95.000-100.000
80000000,Kebayoran Lama,Daihatsu,Ayla,2016,95.000-100.000
80000000,Grogol Petamburan,Daihatsu,Ayla,2016,95.000-100.000
252000000,Kramat Jati,Mazda,2,2020,60.000-65.000
210000000,Duren Sawit,Honda,HR-V,2018,70.000-75.000
900000000,Cilandak,Lexus,RX300,2018,45.000-50.000
200000000,Cempaka Putih,Honda,HR-V,2017,125.000-130.000
126000000,Tanah Abang,Suzuki,Ertiga,2015,75.000-80.000
137000000,Kramat Jati,Daihatsu,Xenia,2018,75.000-80.000
163000000,Cibubur,Toyota,Yaris,2016,75.000-80.000
151000000,Grogol Petamburan,Honda,Brio Satya,2019,40.000-45.000
159000000,Pasar Minggu,Toyota,Sienta,2018,30.000-35.000
372000000,Kemayoran,Honda,CR-V,2018,45.000-50.000
185000000,Grogol Petamburan,Wuling,Air EV,2022,5.000
117500000,Cibubur,Nissan,Grand livina,2016,65.000-70.000
117500000,Kemang,Nissan,Grand livina,2016,65.000-70.000
117500000,Kramat Jati,Nissan,Grand livina,2016,65.000-70.000
117500000,Duren Sawit,Nissan,Grand livina,2016,65.000-70.000
117500000,Cakung,Nissan,Grand livina,2016,65.000-70.000
117500000,Kebayoran Lama,Nissan,Grand livina,2016,65.000-70.000
117500000,Palmerah,Nissan,Grand livina,2016,65.000-70.000
117500000,Cengkareng,Nissan,Grand livina,2016,65.000-70.000
358000000,Cilangkap,Toyota,Fortuner,2018,50.000-55.000
358000000,Tanjung Barat,Toyota,Fortuner,2018,50.000-55.000
358000000,Pasar Minggu,Toyota,Fortuner,2018,50.000-55.000
358000000,Kebayoran Lama,Toyota,Fortuner,2018,50.000-55.000
233000000,Kemang,Toyota,Kijang Innova,2017,80.000-85.000
341000000,Pasar Minggu,Toyota,Voxy,2018,80.000-85.000
179000000,Pasar Minggu,Wuling,Almaz,2019,40.000-45.000
243000000,Setia Budi,Toyota,Kijang Innova,2017,80.000-85.000
361647000,Cilandak,Hyundai,Creta,2023,5.000
277000000,Mampang Prapatan,Honda,HR-V,2020,75.000-80.000
395000000,Penjaringan,Toyota,Voxy,2019,40.000-45.000
111000000,Cengkareng,Daihatsu,Ayla,2018,10.000-15.000
358000000,Kembangan,Toyota,Fortuner,2018,50.000-55.000
358000000,Grogol Petamburan,Toyota,Fortuner,2018,50.000-55.000
358000000,Cengkareng,Toyota,Fortuner,2018,50.000-55.000
260000000,Pasar Minggu,Toyota,Kijang Innova,2019,65.000-70.000
97000000,Tebet,Daihatsu,Gran max,2017,165.000-170.000
365000000,Kemayoran,Mini,Cooper,2010,10.000-15.000
265000000,Tebet,Toyota,Avanza,2022,5.000-10.000
269000000,Setia Budi,Mercedes-Benz,C250,2012,70.000-75.000
269000000,Kebayoran Baru,Mercedes-Benz,C250,2012,70.000-75.000
125000000,Kembangan,Toyota,Camry,2009,130.000-135.000
203000000,Setia Budi,Wuling,Almaz,2019,45.000-50.000
1500000000,Kemayoran,Mercedes-Benz,S450L,2018,15.000-20.000
113000000,Grogol Petamburan,Suzuki,Ignis,2019,30.000-35.000
252000000,Kemang,Toyota,Rush,2022,15.000-20.000
143000000,Pesanggrahan,Suzuki,Ertiga,2017,90.000-95.000
87000000,Duren Sawit,Daihatsu,Ayla,2018,55.000-60.000
185000000,Pademangan,Honda,Brio,2022,5.000-10.000
